# Stamp; Host; NProc; X; Y; Z; F; Total FE; Total M; End Time; Dur. Init; Stretch Sim; Int. Init; Main Sim; Total; Total (User); Total (System); ODE; Parabolic; FE; FE before Main Sim" 
07.12.2016 20:03:14;neon;         24;          6;         12;          4;          1;        288;      51840;   1.000;20.68400000;193.02400000;.00000000;1654.96800000;1872.28393555;1853.59997559;18.68400002;1398.70400000;254.50800000;1.14400000;91.04000000;
07.12.2016 20:44:53;neon;         32;          6;         16;          4;          1;        384;      69120;   1.000;16.75200000;212.42000000;.00400000;2148.29600000;2384.22412109;2361.55200195;22.67200089;1527.60400000;617.30800000;2.58400000;122.64000000;
08.12.2016 11:26:11;neon;          2;          3;          4;          2;          1;         24;       4320;   1.000;1.87600000;66.47600000;.00000000;1048.88800000;1119.72790527;1119.47595215;.25200000;1027.00000000;21.14400000;.41600000;13.70800000;
08.12.2016 11:44:46;neon;          4;          3;          8;          2;          1;         48;       8640;   1.000;2.20000000;59.70000000;.00400000;1048.90000000;1112.20397949;1111.85998535;.34400001;1030.61200000;17.70400000;.26000000;6.70400000;
08.12.2016 12:03:36;neon;          8;          6;          8;          2;          1;         96;      17280;   1.000;3.20800000;66.12000000;.00000000;1055.47600000;1126.37597656;1125.92395020;.45199999;1021.97600000;32.77200000;.42000000;12.09600000;
08.12.2016 12:22:33;neon;         12;          6;          8;          3;          1;        144;      25920;   1.000;3.89200000;75.06000000;.00000000;1052.94000000;1133.48803711;1133.05200195;.43599999;1025.91200000;25.99600000;.65600000;20.44000000;
08.12.2016 12:53:36;neon;         16;          6;          8;          4;          1;        192;      34560;   1.000;5.37200000;135.97200000;.00000000;1683.05600000;1827.77600098;1822.42395020;5.35200024;1437.66800000;243.48400000;1.22400000;45.98000000;
08.12.2016 15:28:25;neon;          4;          3;          8;          2;          1;         48;       8640;   1.000;2.98000000;61.00800000;.00000000;1052.64800000;1118.03198242;1117.76403809;.26800001;1026.30800000;25.80000000;.27200000;6.97200000;            T;            T;
08.12.2016 15:47:34;neon;          8;          6;          8;          2;          1;         96;      17280;   1.000;3.07600000;67.63200000;.00000000;1073.80800000;1146.07995605;1145.76794434;.31200001;1023.12400000;49.92000000;.43600000;12.30000000;            T;            T;
08.12.2016 16:11:23;neon;         12;          6;          8;          3;          1;        144;      25920;   1.000;3.80800000;85.17600000;.00400000;1334.19600000;1425.60009766;1425.09204102;.50800002;1154.67200000;178.33600000;.79600000;21.26400000;            T;            T;
08.12.2016 16:39:24;neon;         16;          6;          8;          4;          1;        192;      34560;   1.000;6.07600000;115.87600000;.00400000;1549.02400000;1673.76403809;1673.00000000;.76400000;1432.24000000;115.22800000;1.04000000;33.96400000;            T;            T;
# Stamp; Host; NProc; X; Y; Z; F; Total FE; Total M; End Time; Dur. Init; Stretch Sim; Int. Init; Main Sim; Total; Total (User); Total (System); ODE; Parabolic; FE; FE before Main Sim" 
07.12.2016 18:34:23;neon;          4;          3;          8;          2;          1;         48;       8640;   1.000;3.79200000;59.42000000;.00400000;1031.04800000;1095.86401367;1093.79199219;2.07200003;1013.37600000;17.13600000;.26400000;6.81600000;
07.12.2016 18:53:15;neon;          8;          6;          8;          2;          1;         96;      17280;   1.000;7.98000000;66.84400000;.00000000;1052.30400000;1128.92004395;1121.96398926;6.95599985;1026.23600000;25.32000000;.42000000;13.56400000;
07.12.2016 19:12:23;neon;         12;          6;          8;          3;          1;        144;      25920;   1.000;12.27200000;76.84400000;.00000000;1053.47200000;1144.28393555;1132.92395020;11.35999966;1024.44800000;28.03200000;.64000000;23.55600000;
07.12.2016 19:31:43;neon;         16;          6;          8;          4;          1;        192;      34560;   1.000;16.76800000;79.46800000;.00400000;1059.19600000;1157.42395020;1141.63195801;15.79199982;1040.33600000;17.86800000;.65200000;25.95600000;
07.12.2016 20:03:14;neon;         24;          6;         12;          4;          1;        288;      51840;   1.000;20.69600000;197.30800000;.00400000;1657.76800000;1879.73999023;1862.19201660;17.54800034;1393.87600000;262.24000000;1.14800000;93.72000000;
07.12.2016 20:44:53;neon;         32;          6;         16;          4;          1;        384;      69120;   1.000;16.29200000;215.78000000;.00000000;2205.33200000;2443.16381836;2413.95190430;29.21199989;1488.50400000;713.41200000;2.69600000;125.87600000;
08.12.2016 11:44:46;neon;          4;          3;          8;          2;          1;         48;       8640;   1.000;2.30400000;59.64800000;.00400000;1048.90000000;1112.24401855;1111.95202637;.29200000;1026.23600000;22.09200000;.27200000;6.70800000;
08.12.2016 12:03:36;neon;          8;          6;          8;          2;          1;         96;      17280;   1.000;3.07200000;66.25600000;.00400000;1055.48000000;1126.31994629;1126.00000000;.31999999;1021.28400000;33.45600000;.42400000;12.08800000;
